introvert,one who turns towards himself
submerge,put under water liquid sink out of sight
endorse,write one's name on the back of
abide,be faithful; to endure
chortle,loud chuckle of pleasure or amusement
narcissism,Self-love
abscond,to go away suddenly (to avoid arrest)
patron,regular customer person who gives support
introspection,examining one's own thoughts and feelings
ambidextrous,able to use the left hand or the right equally well
retrograde,receding
connoisseur,a person with good judgement (e.g.. in art)
buoyant,able to float; light-hearted
dangle,hand or swing loosely
dupe,cheat make a fool of
scribble,write hastily
pluck,pull the feathers off pick (e.g.. flowers)
braggart,boastful
engulf,swallow up
complaisant,trying to please; obliging
aberration,straying away from what is normal
connote,Suggest or imply in addition to the precise, literal meaning"
adulteration,making unpure; poorer in quality
woo,try to win
audacious,Bold
turmoil,trouble disturbance
recuperate,become strong after illness loss exhaustion
sadistic,Cruel
livid,Furiously angry, enraged"
edible,fit to be eaten/not poisonous
evasive,tending to evade
steeply,rising or falling sharply
ail,to cause pain, uneasiness, or trouble to."
refine,make or become pure cultural
grievous,causing grief or pain; serious dire grave
ascend,go or come up
divergence,getting farther apart from a point
tadpole,form of a frog when it leaves the egg
bewilder,puzzle; confuse
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
arcane,known or understood by very few
luminary,star; light-giving body
timid,shy easily frightened
enigma,something that is puzzling
fidelity,loyalty accuracy
antidote,medicine used against a poison or a disease
erratic,irregular in behaviour or opinion
dexterity,skill (esp. in handling)
skit,short piece of humorous writing
fission,splitting or division (esp. of cells)
disproof,proof to the contrary
alleviate,make (pain) easier to bear
opaqueness,dullness/not allowing light to pass through
cryptic,secret with a hidden meaning
lampoon,publicly mock or ridicule
sheath,cover for the blade of a weapon or a tool
accolade,praise; approval
satiate,satisfy fully
renovate,restore something to better condition
knit,draw together; unite firmly
malevolent,malicious; evil; having or showing ill will
centurion,leader of a unit of 100 soldiers
enduring,lasting
ambivalent,having both of two contrary meanings
impede,hinder; get in the way of
immutable,that cannot be changed
massacre,cruel killing of a large number of people
garrulous,too talkative
drowsiness,feeling sleepy half asleep
bogus,sham; counterfeit; not genuine
rejuvenation,becoming young in nature or appearance
plea,request
meticulous,giving great attention to details
constrict,make tight or smaller
repel,refuse to accept/cause dislike
heterogeneous,made up of different kinds
embezzle,use in a wrong way for one's own benefit
fragrant,sweet-smelling
renowned,celebrated; famous
sobriety,quality or condition of being sober
unscathed,unharmed unhurt
edify,instruct; correct morally
misogynist,one who hates women/females
permeate,spread into every part of
reconcile,settle a quarrel restore peace
asterisk,the mark * (e.g.. omitted letters)
malleable,yielding easily shaped; moldable; adapting
treacherous,not to be trusted, perfidious"
liberality,free giving; generosity
apartheid,brutal racial discrimination
endeavor,to make an effort, to try very hard"
indigenous,native
reminiscent,suggest something in the past
enzyme,catalyst
fragile,easily injured broken or destroyed
arrogance,proud; superior manner of behaviour
turbulence,being uncontrollably violent
catalyst,substance that causes speeding up
calipers,metal supports attached to the legs measuring instrument
amalgamate,mix; combine; unite societies
scent,smell (especially pleasant)
chisel,steel tool for shaping materials
presentiment,anticipatory fear; premonition
repulsive,causing a feeling of disgust
sequence,succession connected line of
loll,rest to sit or stand in a lazy way hang (dog's tongue)
shallow,little depth; not earnest
derivative,unoriginal; obtained from another source
abstruse,difficult to comprehend; obscure
concur,agree in opinion happen together
auxiliary,helping; supporting
hospitable,liking to give hospitality
benefactor,person who has given help
precursors,a person or thing that precedes, as in a process or job."
pertain,belong as a part have reference
forgery,counterfeit
stride,walk with long steps
apt,well-suited; quick-witted
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
weigh,measure how heavy something is
judicious,sound in judgment; wise
somersault,rolling backward or forward (not sideways) movement
mite,A very small amount, portion, or particle"
moderation,quality of being limited; not extreme
sophisticated,complex; subtle; refined
ambiguous,doubtful; uncertain
volatile,changeable inconstant fickle unstable explosive
gullible,easily gulled
dislodge,move force from the place occupied
vivacious,lively high-spirited
philanthropist,one who loves mankind
appease,make quiet or calm
clot,half-solid lump formed from liquid
disallow,refuse to allow or accept as a correct
surcharge,additional load/charge
beguile,mislead or delude; cheat; pass time
shunned,avoided, kept away from"
clientele,customers
poseur,a person who attempts to impress by acting unlike himself
foolproof,incapable of failure or error
moribund,in a dying state; near death
anguish,severe suffering
evoke,call up bring out
parenthesis,sentence within another one something separated
commuter,person who travels regularly
misanthrope,person who hates mankind
extralegal,outside the law
boisterous,noisy; restraint
infuriate,fill with fury or rage
ingest,take in by swallowing
tonic,something giving strength or energy
impermeable,that cannot be permeated
console,give comfort or sympathy to
elaborate,worked out with much care in great detail
cordial,warm and sincere
vigorous,strong energetic
aggravate,make worse; irritate
flop,fail/move/fall clumsily
succumb,yield, die"
yarn,tale story fibers for knitting
affable,polite and friendly
adorn,add beauty; decorate
invincible,too strong to be defeated
negligent,taking too little care
recitals,a number of performance of music
colloquial,involving or using conversation.
stray,wander lose one's way
dormant,in a state of inactivity but awaiting development
shard,A piece of broken pottery
brittle,easily broken
sporadic,happening from time to time
strive,to make great efforts, to struggle"
implosion,collapse; bursting inward
foster,nurture; care for
fleet,number of ships; quick-moving
hypocrisy,falsely making oneself appear to be good
salvage,the saving of property from loss
limp,lacking strength; walking unevenly
extinct,no longer active
reiterate,say or do again several times
impromptu,without preparation
pest,destructive thing or a person who is nuisance
sawdust,tiny bits of wood
agile,active; quick-moving
mesmerize,hypnotize
sanity,health of mind soundness of judgment
paradigm,a model example or pattern
gait,a manner of walking, stepping, or running"
disrobe,undress
offhand,Without preparation or forethought
odor,smell
correlate,have a mutual relation
torque,twisting force causing rotation
redeem,get back by payment compensate
grumble,to complain
inclined,directing the mind in a certain direction
pilferer,to steal, especially in small quantities"
abysmal,extreme bad
conjoin,to join together
dote,show much fondness center one's attention
relapse,fall back again
extinguish,end the existence of/wipe or put out
entice,attract, lure"
acumen,Keen, quick, accurate insight or judgment"
gerontocracy,government ruled by old people
sluggard,lazy slow-moving person
acclaimed,welcomed with shouts and approval
spear,weapon with a metal point on a long shaft
implicit,implied though; not plainly expressed
cumbersome,burdensome; heavy and awkward to carry
eloquence,fluent speaking skillful use of language
animosity,strong dislike
writ,written order
abhor,to hate; to detest
allegiance,duty support loyalty
ossified,turned to bone; hardened like bone; Inflexible
sanction,approval (by authority) penalty
predominate,have more power than others
solvent,of the power of forming a solution
premature,doing or happening something before the right time
superimpose,put something on the top
yeoman,man owning small estate; middle-class farmer
legacy,Bequest or inheritance
commemorate,keep the memory of
eulogy,formal praise panegyric
gallant,brave,behaves well with women"
flimsy,lacking solidarity, strength"
indistinct,not easily heard; seen clearly marked
defer,postpone
articulate,speak distinctly; connect by joints
indulgent,inclined to indulge
perjury,willful FALSE statement unlawful act
coagulation,change to a thick and solid state
retrospective,Looking back on past
partisan,one-sided committed to a party biased or prejudiced
suffocate,cause or have difficulty in breathing
ameliorate,improve; make better
equilibrium,state of being balanced
eradicate,get rid of pull up by the roots
brass,yellow metal (mixing copper and zinc)
encapsulate,enclose in capsule
euphoria,elation state of pleasant excitement
sponge,porous rubber for washing live at once expense
riddle,puzzling person or thing
perish,be destroyed decay
Lambaste,attack verbally
nihilism,total rejection of all religious and moral beliefs
pivotal,of great importance (others depend on it)
dwarf,person much smaller the usual size
jabber,talk excitedly; utter rapidly
resuscitation,coming back to consciousness
alloy,to debase by mixing with something inferior
tractable,easily controlled or guided
affinity,close connection; relationship
combustion,process of burning
mischievous,harmful; causing mischief
warrant,authority written order guarantee
curriculum,course of study
suffice,be enough
conceal,hide keep secret
dullard,a stupid, insensitive person"
incongruous,out of place; not in harmony or agreement
